year_month,fiscal_year,variable_name,n,min_reported,max_reported,table_date,file_date
2025_02,2025,bond_set_by_ij,723,723,723,2025-09-20,2025-10-30
2025_03,2025,bond_set_by_ij,1741,1729,1741,2025-09-20,2025-10-30
2025_04,2025,bond_set_by_ij,2433,2411,2433,2025-09-20,2025-10-30
2025_05,2025,bond_set_by_ij,2349,2344,2349,2025-09-20,2025-10-30
2025_06,2025,bond_set_by_ij,2388,2384,2388,2025-09-20,2025-10-30
2025_07,2025,bond_set_by_ij,1938,1934,1938,2025-09-20,2025-10-30
2025_08,2025,bond_set_by_ij,837,837,837,2025-09-20,2025-10-30
2025_09,2025,bond_set_by_ij,433,,,2025-09-20,2025-10-30
2025_10,2026,bond_set_by_ij,995,990,995,2026-02-07,2026-02-13
2025_11,2026,bond_set_by_ij,1165,1159,1165,2026-02-07,2026-02-13
2025_12,2026,bond_set_by_ij,1940,1918,1940,2026-02-07,2026-02-13
2026_01,2026,bond_set_by_ij,2150,2150,2150,2026-02-07,2026-02-13
2026_02,2026,bond_set_by_ij,451,,,2026-02-07,2026-02-13
2020_10,2021,order_of_recognizance,603,603,607,2021-09-25,2021-10-02
2020_11,2021,order_of_recognizance,1064,1064,1066,2021-09-25,2021-10-02
2020_12,2021,order_of_recognizance,1401,1395,1402,2021-09-25,2021-10-02
2021_01,2021,order_of_recognizance,1511,1494,1513,2021-09-25,2021-10-02
2021_02,2021,order_of_recognizance,2202,2183,2202,2021-09-25,2021-10-02
2021_03,2021,order_of_recognizance,7167,7167,7183,2021-09-25,2021-10-02
2021_04,2021,order_of_recognizance,9100,9100,9112,2021-09-25,2021-10-02
2021_05,2021,order_of_recognizance,9590,9581,9590,2021-09-25,2021-10-02
2021_06,2021,order_of_recognizance,15859,15811,15859,2021-09-25,2021-10-02
2021_07,2021,order_of_recognizance,16131,16070,16131,2021-09-25,2021-10-02
2021_08,2021,order_of_recognizance,20054,19949,20054,2021-09-25,2021-10-02
2021_09,2021,order_of_recognizance,14600,,,2021-09-25,2021-10-02
2021_10,2022,order_of_recognizance,11625,11583,12965,2022-09-24,2022-09-30
2021_11,2022,order_of_recognizance,14980,14929,17017,2022-09-24,2022-09-30
2021_12,2022,order_of_recognizance,17311,17310,20220,2022-09-24,2022-09-30
2022_01,2022,order_of_recognizance,16954,16953,19235,2022-09-24,2022-09-30
2022_02,2022,order_of_recognizance,17779,17779,17883,2022-09-24,2022-09-30
2022_03,2022,order_of_recognizance,16248,16248,16340,2022-09-24,2022-09-30
2022_04,2022,order_of_recognizance,10893,10893,10923,2022-09-24,2022-09-30
2022_05,2022,order_of_recognizance,7013,7013,7030,2022-09-24,2022-09-30
2022_06,2022,order_of_recognizance,7788,7788,7797,2022-09-24,2022-09-30
2022_07,2022,order_of_recognizance,5519,5519,5524,2022-09-24,2022-09-30
2022_08,2022,order_of_recognizance,4229,4228,4229,2022-09-24,2022-09-30
2022_09,2022,order_of_recognizance,2929,,,2022-09-24,2022-09-30
2022_10,2023,order_of_recognizance,1867,1865,1875,2023-10-03,2023-11-08
2022_11,2023,order_of_recognizance,2176,2172,2184,2023-10-03,2023-11-08
2022_12,2023,order_of_recognizance,5450,5436,5453,2023-10-03,2023-11-08
2023_01,2023,order_of_recognizance,3212,3209,3215,2023-10-03,2023-11-08
2023_02,2023,order_of_recognizance,2804,2802,2808,2023-10-03,2023-11-08
2023_03,2023,order_of_recognizance,2665,2663,2667,2023-10-03,2023-11-08
2023_04,2023,order_of_recognizance,3126,3106,3126,2023-10-03,2023-11-08
2023_05,2023,order_of_recognizance,4392,4381,4392,2023-10-03,2023-11-08
2023_06,2023,order_of_recognizance,3182,3182,3187,2023-10-03,2023-11-08
2023_07,2023,order_of_recognizance,2901,2895,2906,2023-10-03,2023-11-08
2023_08,2023,order_of_recognizance,4044,4033,4045,2023-10-03,2023-11-08
2023_09,2023,order_of_recognizance,3807,3807,3807,2023-10-03,2023-11-08
2023_10,2024,order_of_recognizance,2920,2897,2920,2024-10-03,2024-10-01
2023_11,2024,order_of_recognizance,3067,3036,3068,2024-10-03,2024-10-01
2023_12,2024,order_of_recognizance,4456,4443,4456,2024-10-03,2024-10-01
2024_01,2024,order_of_recognizance,1942,1930,1942,2024-10-03,2024-10-01
2024_02,2024,order_of_recognizance,2273,2268,2273.0,2024-10-03,2024-10-01
2024_03,2024,order_of_recognizance,2416,2403,2416,2024-10-03,2024-10-01
2024_04,2024,order_of_recognizance,1503,1491,1505,2024-10-03,2024-10-01
2024_05,2024,order_of_recognizance,1749,1740,1749,2024-10-03,2024-10-01
2024_06,2024,order_of_recognizance,1734,1733,1735,2024-10-03,2024-10-01
2024_07,2024,order_of_recognizance,1881,1877,1881,2024-10-03,2024-10-01
2024_08,2024,order_of_recognizance,1285,1270,1285,2024-10-03,2024-10-01
2024_09,2024,order_of_recognizance,1320,1320,1320,2024-10-03,2024-10-01
2024_10,2025,order_of_recognizance,1494,1482,1494,2025-09-20,2025-10-30
2024_11,2025,order_of_recognizance,1480,1462,1480,2025-09-20,2025-10-30
